KPI,BatsManID,BowlerID,BatsManName,BowlerName,Runs,RunsThroughExtras,TotalRuns,BallsFaced,StrikeRate,DotBalls,DBPercent,DotBallFrequency,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,BdryFreq,BdryPercent,WicketLost,RPSS
Head To Head,2019-100mb00000000136-9313d156449c11,2018-100mb00000000045-f658f1b6f88a11,Nicholas Pooran,Ravichandran Ashwin,6,0,6,7,85.71,1,14.29,7.00,6,6,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000136-9313d156449c11,2019-100mb00000000066-573f78a31e3711,Nicholas Pooran,Trent Boult,19,0,19,5,380.00,0,0.00,0.00,5,1,1,0,1,2,1.67,84.21,0,3.80
Head To Head,2019-100mb00000000136-9313d156449c11,2019-100mb00000000109-5cc123ab449411,Nicholas Pooran,Avesh Khan,4,0,4,7,57.14,3,42.86,2.33,4,4,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000136-9313d156449c11,2019-100mb00000000220-18a6ceb644c011,Nicholas Pooran,Sandeep Sharma,16,1,17,10,170.00,3,30.00,3.33,7,4,0,0,3,0,3.33,70.59,0,2.43
Head To Head,2019-100mb00000000136-9313d156449c11,2023-100mb00000002806-75b62b2495ca11,Nicholas Pooran,Nandre Burger,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000170-9429250944ae11,2019-100mb00000000066-573f78a31e3711,Quinton De Kock,Trent Boult,4,0,4,5,80.00,4,80.00,1.25,1,0,0,0,1,0,5.00,100.00,1,4.00
Head To Head,2019-100mb00000000200-1283ad3244ba11,2019-100mb00000000066-573f78a31e3711,Devdutt Padikkal,Trent Boult,0,0,0,3,0.00,3,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2019-100mb00000000215-f86e728844bc11,2018-100mb00000000010-b76159ade99b11,Deepak Hooda,Yuzvendra Chahal,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2019-100mb00000000215-f86e728844bc11,2018-100mb00000000045-f658f1b6f88a11,Deepak Hooda,Ravichandran Ashwin,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000215-f86e728844bc11,2019-100mb00000000066-573f78a31e3711,Deepak Hooda,Trent Boult,5,0,5,2,250.00,0,0.00,0.00,2,1,0,0,1,0,2.00,80.00,0,2.50
Head To Head,2019-100mb00000000215-f86e728844bc11,2019-100mb00000000109-5cc123ab449411,Deepak Hooda,Avesh Khan,8,0,8,4,200.00,1,25.00,4.00,3,2,0,0,0,1,4.00,75.00,0,2.67
Head To Head,2019-100mb00000000215-f86e728844bc11,2023-100mb00000002806-75b62b2495ca11,Deepak Hooda,Nandre Burger,11,0,11,4,275.00,1,25.00,4.00,3,1,0,0,1,1,2.00,90.91,0,3.67
Head To Head,2022-100mb00000000985-f5950061a44811,2019-100mb00000000066-573f78a31e3711,Ayush Badoni,Trent Boult,1,0,1,4,25.00,3,75.00,1.33,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2022-100mb00000000985-f5950061a44811,2023-100mb00000002806-75b62b2495ca11,Ayush Badoni,Nandre Burger,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2019-100mb00000000061-6d68257c17f311,2018-100mb00000000009-92bfdfe9e99b11,Vijay Shankar,Jasprit Bumrah,3,0,3,3,100.00,0,0.00,0.00,3,3,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000061-6d68257c17f311,2023-100mb00000002535-239c770f61da11,Vijay Shankar,Gerald Coetzee,3,0,3,2,150.00,0,0.00,0.00,2,1,1,0,0,0,0.00,0.00,0,1.50
Head To Head,2019-100mb00000000062-8fa4884a17f311,2018-100mb00000000054-e3ebefa2050a11,Shubman Gill,Hardik Pandya,6,0,6,7,85.71,5,71.43,1.40,2,0,1,0,1,0,7.00,66.67,0,3.00
Head To Head,2019-100mb00000000062-8fa4884a17f311,2019-100mb00000000149-10d5663944a911,Shubman Gill,Piyush Chawla,2,0,2,4,50.00,2,50.00,2.00,2,2,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2019-100mb00000000062-8fa4884a17f311,2021-100mb00000000600-e91c35199df211,Shubman Gill,Shams Mulani,18,1,19,9,211.11,2,22.22,4.50,7,2,3,0,1,1,4.50,52.63,0,2.71
Head To Head,2019-100mb00000000062-8fa4884a17f311,2024-100mb00000003116-51a9a019e5e811,Shubman Gill,Luke Wood,5,0,5,2,250.00,0,0.00,0.00,2,1,0,0,1,0,2.00,80.00,0,2.50
Head To Head,2019-100mb00000000120-7489ddcc449711,2018-100mb00000000009-92bfdfe9e99b11,Rahul Tewatia,Jasprit Bumrah,5,1,6,7,85.71,2,42.86,2.33,4,3,1,0,0,0,0.00,0.00,0,1.50
Head To Head,2019-100mb00000000120-7489ddcc449711,2023-100mb00000002535-239c770f61da11,Rahul Tewatia,Gerald Coetzee,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2019-100mb00000000120-7489ddcc449711,2024-100mb00000003116-51a9a019e5e811,Rahul Tewatia,Luke Wood,17,2,19,6,316.67,1,33.33,3.00,5,1,1,0,2,1,2.00,73.68,0,3.80
Head To Head,2019-100mb00000000128-e95bebea449911,2018-100mb00000000009-92bfdfe9e99b11,David Miller,Jasprit Bumrah,1,0,1,3,33.33,2,66.67,1.50,1,1,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2019-100mb00000000128-e95bebea449911,2018-100mb00000000054-e3ebefa2050a11,David Miller,Hardik Pandya,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000128-e95bebea449911,2023-100mb00000002535-239c770f61da11,David Miller,Gerald Coetzee,9,1,10,6,166.67,0,16.67,6.00,5,3,1,0,1,0,6.00,40.00,0,2.00
Head To Head,2019-100mb00000000218-42d9d6f544bf11,2023-100mb00000002535-239c770f61da11,Rashid Khan,Gerald Coetzee,4,0,4,3,133.33,0,0.00,0.00,3,2,1,0,0,0,0.00,0.00,0,1.33
Head To Head,2019-100mb00000000225-a11ad1bc44c011,2018-100mb00000000009-92bfdfe9e99b11,Wriddhiman Saha,Jasprit Bumrah,4,0,4,6,66.67,5,83.33,1.20,1,0,0,0,1,0,6.00,100.00,1,4.00
Head To Head,2019-100mb00000000225-a11ad1bc44c011,2018-100mb00000000054-e3ebefa2050a11,Wriddhiman Saha,Hardik Pandya,14,0,14,5,280.00,0,0.00,0.00,5,2,0,0,3,0,1.67,85.71,0,2.80
Head To Head,2019-100mb00000000225-a11ad1bc44c011,2024-100mb00000003116-51a9a019e5e811,Wriddhiman Saha,Luke Wood,1,1,2,4,50.00,2,75.00,1.33,1,1,0,0,0,0,0.00,0.00,0,2.00
Head To Head,2022-100mb00000000976-79aa33cca44611,2018-100mb00000000009-92bfdfe9e99b11,Sai Sudharsan,Jasprit Bumrah,1,0,1,5,20.00,4,80.00,1.25,1,1,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2022-100mb00000000976-79aa33cca44611,2018-100mb00000000054-e3ebefa2050a11,Sai Sudharsan,Hardik Pandya,8,0,8,4,200.00,0,0.00,0.00,4,2,1,0,1,0,4.00,50.00,0,2.00
Head To Head,2022-100mb00000000976-79aa33cca44611,2019-100mb00000000149-10d5663944a911,Sai Sudharsan,Piyush Chawla,14,5,19,10,190.00,2,20.00,5.00,8,6,1,0,0,1,10.00,31.58,0,2.38
Head To Head,2022-100mb00000000976-79aa33cca44611,2021-100mb00000000600-e91c35199df211,Sai Sudharsan,Shams Mulani,4,0,4,6,66.67,2,33.33,3.00,4,4,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2022-100mb00000000976-79aa33cca44611,2023-100mb00000002535-239c770f61da11,Sai Sudharsan,Gerald Coetzee,10,1,11,10,110.00,3,40.00,2.50,6,4,1,0,1,0,10.00,36.36,0,1.83
Head To Head,2022-100mb00000000976-79aa33cca44611,2024-100mb00000003107-805cae57df9b11,Sai Sudharsan,Naman Dhir,8,0,8,4,200.00,0,0.00,0.00,4,2,1,0,1,0,4.00,50.00,0,2.00
Head To Head,2022-100mb00000001354-5a766b041e0411,2019-100mb00000000149-10d5663944a911,Azmatullah Omarzai,Piyush Chawla,10,0,10,4,250.00,0,0.00,0.00,4,2,1,0,0,1,4.00,60.00,0,2.50
Head To Head,2022-100mb00000001354-5a766b041e0411,2021-100mb00000000600-e91c35199df211,Azmatullah Omarzai,Shams Mulani,1,0,1,3,33.33,2,66.67,1.50,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2022-100mb00000001354-5a766b041e0411,2023-100mb00000002535-239c770f61da11,Azmatullah Omarzai,Gerald Coetzee,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2022-100mb00000001354-5a766b041e0411,2024-100mb00000003107-805cae57df9b11,Azmatullah Omarzai,Naman Dhir,5,0,5,2,250.00,0,0.00,0.00,2,1,0,0,1,0,2.00,80.00,0,2.50
Head To Head,2018-100mb00000000006-2cf4bba8e99b11,2018-100mb00000000021-a294dad8e99c11,Rohit Sharma,Umesh Yadav,18,0,18,10,180.00,6,60.00,1.67,4,0,0,0,3,1,2.50,100.00,0,4.50
Head To Head,2018-100mb00000000006-2cf4bba8e99b11,2019-100mb00000000100-f196053e43f611,Rohit Sharma,Mohit Sharma,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000006-2cf4bba8e99b11,2019-100mb00000000218-42d9d6f544bf11,Rohit Sharma,Rashid Khan,6,0,6,6,100.00,3,50.00,2.00,3,2,0,0,1,0,6.00,66.67,0,2.00
Head To Head,2018-100mb00000000006-2cf4bba8e99b11,2020-100mb00000000544-980117aa639c11,Rohit Sharma,Sai Kishore,7,0,7,6,116.67,2,33.33,3.00,4,3,0,0,1,0,6.00,57.14,1,1.75
Head To Head,2018-100mb00000000006-2cf4bba8e99b11,2022-100mb00000001354-5a766b041e0411,Rohit Sharma,Azmatullah Omarzai,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000006-2cf4bba8e99b11,2023-100mb00000002518-9a5f0c5357b311,Rohit Sharma,Spencer Johnson,9,0,9,3,300.00,0,0.00,0.00,3,1,0,0,2,0,1.50,88.89,0,3.00
Head To Head,2018-100mb00000000009-92bfdfe9e99b11,2018-100mb00000000021-a294dad8e99c11,Jasprit Bumrah,Umesh Yadav,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000054-e3ebefa2050a11,2018-100mb00000000021-a294dad8e99c11,Hardik Pandya,Umesh Yadav,10,0,10,3,333.33,1,33.33,3.00,2,0,0,0,1,1,1.50,100.00,1,5.00
