KPI,MatchID,BowlerID,BowlerName,StrikerID,BatsManName,TotalRunsConceded,BowlingAverage,TotalLegalBallsBowled,BowlingSR,EconomyRate,DotBallsBowled,ScoringBalls,Ones,Twoes,Threes,Bdry4,Bdry6,Wides,NoBalls,Wickets,RunOutsDone,BowledOutsDone,StumpingsDone,BowlingDotBallPercentage,BowlingDotBallFrequency,BowlingBdryPercentage,BowlingBdryFrequency
Head To Head,1355,2019-100mb00000000114-8c98068c449611,Harshal Patel,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,8,8.00,4,4.00,12.00,1,3,0,2,0,1,0,0,0,1,0,0,0,25.00,4.00,50.00,4.00
Head To Head,1355,2019-100mb00000000114-8c98068c449611,Harshal Patel,2019-100mb00000000110-79ae08f5449411,Axar Patel,1,1.00,1,1.00,6.00,0,1,1,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00
Head To Head,1355,2019-100mb00000000114-8c98068c449611,Harshal Patel,2019-100mb00000000214-df216bed44bc11,David Warner,5,5.00,5,5.00,6.00,3,2,1,0,0,1,0,0,0,1,0,0,0,60.00,1.67,80.00,5.00
Head To Head,1355,2019-100mb00000000114-8c98068c449611,Harshal Patel,2019-100mb00000000268-22e2e3987add11,Shai Hope,1,0.00,1,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1355,2019-100mb00000000114-8c98068c449611,Harshal Patel,2022-100mb00000001017-3e376712cc7911,Tristan Stubbs,0,0.00,2,0.00,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1355,2019-100mb00000000114-8c98068c449611,Harshal Patel,2022-100mb00000001535-6fd8867c54e911,Sumit Kumar,0,0.00,2,0.00,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1355,2019-100mb00000000114-8c98068c449611,Harshal Patel,2022-100mb00000001580-2e206f715b5511,Abishek Porel,31,31.00,9,9.00,20.67,0,9,3,0,0,4,2,0,0,0,1,0,0,0.00,0.00,90.32,1.50
Head To Head,1355,2019-100mb00000000116-dbd48930449611,Kagiso Rabada,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,1,0.00,1,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1355,2019-100mb00000000116-dbd48930449611,Kagiso Rabada,2018-100mb00000000040-7f15f6c7f88a11,Mitchell Marsh,6,0.00,5,0.00,14.40,2,1,0,0,0,0,1,1,0,0,0,0,0,40.00,2.50,100.00,5.00
Head To Head,1355,2019-100mb00000000116-dbd48930449611,Kagiso Rabada,2019-100mb00000000110-79ae08f5449411,Axar Patel,8,0.00,4,0.00,12.00,1,3,2,0,0,0,1,0,0,0,0,0,0,25.00,4.00,75.00,4.00
