MatchID,InningsNo,TeamID,PlayerID,PlayerName,Score,FallScore,FallWickets,FallOvers
1443,2,13,2019-100mb00000000206-501d92f644bb11,Moeen Ali,86/3(11.5),86,3,11.5
1443,2,13,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,107/4(13.6),107,4,13.6
1443,2,13,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,121/5(15.5),121,5,15.5
0,0,0,0,0,0,0,0,0
1444,1,19,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,23/1(2.2),23,1,2.2
1444,1,19,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,36/2(3.4),36,2,3.4
1444,1,19,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,124/3(12.3),124,3,12.3
1444,1,19,2023-100mb00000001941-9401571cc40411,Will Jacks,137/4(14.4),137,4,14.4
1444,1,19,2019-100mb00000000184-117a285844b711,Mahipal Lomror,174/5(17.4),174,5,17.4
1444,1,19,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,174/6(17.6),174,6,17.6
1444,1,19,2022-100mb00000001483-5afb915c543411,Swapnil Singh,176/7(18.3),176,7,18.3
1444,1,19,2019-100mb00000000098-7a8c366b43f611,Karn Sharma,185/8(19.5),185,8,19.5
1444,1,19,2019-100mb00000000063-d9aa7a01187311,Mohammed Siraj,187/9(19.6),187,9,19.6
1444,2,14,2019-100mb00000000214-df216bed44bc11,David Warner,8/1(0.4),8,1,0.4
1444,2,14,2022-100mb00000001580-2e206f715b5511,Abishek Porel,24/2(2.1),24,2,2.1
1444,2,14,2024-100mb00000003115-5afd8ccce29e11,Jake Fraser - McGurk,24/3(2.2),24,3,2.2
1444,2,14,2024-100mb00000003101-b9f9be41df9511,Kumar Kushagra,30/4(3.3),30,4,3.3
1444,2,14,2019-100mb00000000268-22e2e3987add11,Shai Hope,86/5(9.3),86,5,9.3
1444,2,14,2022-100mb00000001017-3e376712cc7911,Tristan Stubbs,90/6(10.6),90,6,10.6
1444,2,14,2019-100mb00000000172-1befbbeb44af11,Rasikh Salam,127/7(14.6),127,7,14.6
1444,2,14,2019-100mb00000000110-79ae08f5449411,Axar Patel,128/8(15.4),128,8,15.4
1444,2,14,2022-100mb00000001462-cbc59298427c11,Mukesh Kumar,135/9(17.4),135,9,17.4
1444,2,14,2018-100mb00000000014-227bc550e99c11,Kuldeep Yadav,140/10(19.1),140,10,19.1
1446,1,14,2024-100mb00000003115-5afd8ccce29e11,Jake Fraser - McGurk,2/1(0.2),2,1,0.2
1446,1,14,2019-100mb00000000268-22e2e3987add11,Shai Hope,94/2(8.3),94,2,8.3
1446,1,14,2022-100mb00000001580-2e206f715b5511,Abishek Porel,111/3(11.1),111,3,11.1
1446,1,14,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,158/4(16.2),158,4,16.2
1446,2,77,2018-100mb00000000019-80e59e32e99c11,K L Rahul,7/1(0.5),7,1,0.5
1446,2,77,2019-100mb00000000170-9429250944ae11,Quinton De Kock,24/2(2.5),24,2,2.5
1446,2,77,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,24/3(3.1),24,3,3.1
1446,2,77,2019-100mb00000000215-f86e728844bc11,Deepak Hooda,44/4(4.1),44,4,4.1
1446,2,77,2022-100mb00000000985-f5950061a44811,Ayush Badoni,71/5(7.3),71,5,7.3
1446,2,77,2019-100mb00000000136-9313d156449c11,Nicholas Pooran,101/6(11.1),101,6,11.1
1446,2,77,2018-100mb00000000017-5e389774e99c11,Krunal Pandya,134/7(14.4),134,7,14.4
1446,2,77,2021-100mb00000000587-d15a3db891de11,Yudhvir Singh,167/8(16.6),167,8,16.6
1446,2,77,2020-100mb00000000520-c2b1e0df638711,Ravi Bishnoi,183/9(18.3),183,9,18.3
