MatchID,BattingTeamID,InningsNo,StrikerID,Striker,NonStrikerID,PartnershipTotal,StrikerRuns,StrikerBalls,Extras,NonStrikerRuns,NonStrikerBalls,MatchMaxOver,MatchMinOver,NonStriker,@I := 0,RowNumber
1421,77,2,2019-100mb00000000136-9313d156449c11,Nicholas Pooran,2018-100mb00000000023-201fd633e99d11,70,34,15,2,34,19,16.3,11.1,Marcus Stoinis,0,8
1421,77,2,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,2019-100mb00000000215-f86e728844bc11,55,36,13,2,17,6,19.3,16.4,Deepak Hooda,0,9
1421,77,2,2019-100mb00000000215-f86e728844bc11,Deepak Hooda,2018-100mb00000000023-201fd633e99d11,55,17,6,2,36,13,19.3,16.4,Marcus Stoinis,0,10
1426,77,1,2018-100mb00000000019-80e59e32e99c11,K L Rahul,2019-100mb00000000170-9429250944ae11,8,0,0,0,8,3,0.3,0.1,Quinton De Kock,0,1
1426,77,1,2019-100mb00000000170-9429250944ae11,Quinton De Kock,2018-100mb00000000019-80e59e32e99c11,8,8,3,0,0,0,0.3,0.1,K L Rahul,0,2
1426,77,1,2018-100mb00000000019-80e59e32e99c11,K L Rahul,2018-100mb00000000023-201fd633e99d11,3,3,5,0,0,4,1.6,0.4,Marcus Stoinis,0,3
1426,77,1,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,2018-100mb00000000019-80e59e32e99c11,3,0,4,0,3,5,1.6,0.4,K L Rahul,0,4
1426,77,1,2018-100mb00000000019-80e59e32e99c11,K L Rahul,2019-100mb00000000215-f86e728844bc11,115,57,31,8,50,31,12.1,2.1,Deepak Hooda,0,5
1426,77,1,2019-100mb00000000215-f86e728844bc11,Deepak Hooda,2018-100mb00000000019-80e59e32e99c11,115,50,31,8,57,31,12.1,2.1,K L Rahul,0,6
1426,77,1,2018-100mb00000000019-80e59e32e99c11,K L Rahul,2019-100mb00000000136-9313d156449c11,24,11,7,2,11,11,15.1,12.2,Nicholas Pooran,0,7
1426,77,1,2019-100mb00000000136-9313d156449c11,Nicholas Pooran,2018-100mb00000000019-80e59e32e99c11,24,11,11,2,11,7,15.1,12.2,K L Rahul,0,8
1426,77,1,2022-100mb00000000985-f5950061a44811,Ayush Badoni,2018-100mb00000000019-80e59e32e99c11,23,12,8,6,5,5,17.2,15.2,K L Rahul,0,9
1426,77,1,2018-100mb00000000019-80e59e32e99c11,K L Rahul,2022-100mb00000000985-f5950061a44811,23,5,5,6,12,8,17.2,15.2,Ayush Badoni,0,10
1426,77,1,2022-100mb00000000985-f5950061a44811,Ayush Badoni,2018-100mb00000000017-5e389774e99c11,23,6,5,2,15,11,19.6,17.3,Krunal Pandya,0,11
1426,77,1,2018-100mb00000000017-5e389774e99c11,Krunal Pandya,2022-100mb00000000985-f5950061a44811,23,15,11,2,6,5,19.6,17.3,Ayush Badoni,0,12
1426,18,2,2020-100mb00000000533-e895f279639811,Yashasvi Jaiswal,2019-100mb00000000182-b78f12ef44b611,60,24,17,2,34,18,5.5,0.1,Jos Buttler,0,1
1426,18,2,2019-100mb00000000182-b78f12ef44b611,Jos Buttler,2020-100mb00000000533-e895f279639811,60,34,18,2,24,17,5.5,0.1,Yashasvi Jaiswal,0,2
1426,18,2,2020-100mb00000000533-e895f279639811,Yashasvi Jaiswal,2019-100mb00000000190-c62cbae544b711,0,0,1,0,0,1,6.1,5.6,Sanju Samson,0,3
1426,18,2,2019-100mb00000000190-c62cbae544b711,Sanju Samson,2020-100mb00000000533-e895f279639811,0,0,1,0,0,1,6.1,5.6,Yashasvi Jaiswal,0,4
1426,18,2,2019-100mb00000000189-ac8c327a44b711,Riyan Parag,2019-100mb00000000190-c62cbae544b711,18,14,11,0,4,4,8.4,6.2,Sanju Samson,0,5
1426,18,2,2019-100mb00000000190-c62cbae544b711,Sanju Samson,2019-100mb00000000189-ac8c327a44b711,18,4,4,0,14,11,8.4,6.2,Riyan Parag,0,6
1426,18,2,2022-100mb00000001004-da6e207ea44e11,Dhruv Jurel,2019-100mb00000000190-c62cbae544b711,121,52,34,2,67,28,18.6,8.5,Sanju Samson,0,7
1426,18,2,2019-100mb00000000190-c62cbae544b711,Sanju Samson,2022-100mb00000001004-da6e207ea44e11,121,67,28,2,52,34,18.6,8.5,Dhruv Jurel,0,8
1425,14,1,2024-100mb00000003115-5afd8ccce29e11,Jake Fraser - McGurk,2022-100mb00000001580-2e206f715b5511,114,84,27,3,27,19,7.3,0.1,Abishek Porel,0,1
1425,14,1,2022-100mb00000001580-2e206f715b5511,Abishek Porel,2024-100mb00000003115-5afd8ccce29e11,114,27,19,3,84,27,7.3,0.1,Jake Fraser - McGurk,0,2
1425,14,1,2019-100mb00000000268-22e2e3987add11,Shai Hope,2022-100mb00000001580-2e206f715b5511,13,4,5,0,9,8,9.4,7.4,Abishek Porel,0,3
